selector,kind,prod_count,bucket,pages
".auth-email",class,0,dead,""
".bulk-hint",class,0,dead,""
".controls-actions-right",class,0,dead,""
".controls-right",class,0,dead,""
".create-head",class,0,dead,""
".create-head-right",class,0,dead,""
".fixed-mini-card",class,0,dead,""
".fixed-mini-field",class,0,dead,""
".fixed-mini-label",class,0,dead,""
".fixed-mini-q",class,0,dead,""
".fixed-mini-t",class,0,dead,""
".modal-actions-simple",class,0,dead,""
".modal-body-simple",class,0,dead,""
".modal-sm",class,0,dead,""
".myhw-actions-row",class,0,dead,""
".myhw-submitted",class,0,dead,""
".right-actions",class,0,dead,""
".student-actions",class,0,dead,""
".student-head",class,0,dead,""
".student-problem",class,0,dead,""
".students-head",class,0,dead,""
".students-head-actions",class,0,dead,""
".topic-auto",class,0,dead,""
".tp-topic",class,0,dead,""
".tp-types",class,0,dead,""
".tp-types-list",class,0,dead,""
".ws-ans-text",class,0,dead,""
"#__ege_diag__",id,0,dead,""
".added-head",class,1,page,"hw_create"
".answer-row",class,1,page,"trainer"
".btn-danger",class,1,page,"student"
".clickable",class,1,page,"my_homeworks"
".controls-left",class,1,page,"home_student"
".editable-btn",class,1,page,"hw_create"
".editable-muted",class,1,page,"hw_create"
".editable-wrap",class,1,page,"hw_create"
".fixed-mini-del",class,1,page,"hw_create"
".fixed-mini-list",class,1,page,"hw_create"
".fixed-mini-num",class,1,page,"hw_create"
".fixed-prev-body",class,1,page,"hw_create"
".fixed-prev-card",class,1,page,"hw_create"
".hrow",class,1,page,"hw_create"
".hw-create-ans",class,1,page,"hw_create"
".is-active",class,1,page,"student"
".link-box",class,1,page,"hw_create"
".link-label",class,1,page,"hw_create"
".link-meta",class,1,page,"hw_create"
".list-meta-right",class,1,page,"trainer"
".modal-body",class,1,page,"hw_create"
".myhw-actions",class,1,page,"my_homeworks_archive"
".myhw-left",class,1,page,"my_homeworks"
".myhw-right",class,1,page,"my_homeworks"
".myhw-row",class,1,page,"my_homeworks"
".picker-grid",class,1,page,"home_student"
".picker-left",class,1,page,"home_student"
".picker-right",class,1,page,"home_student"
