kind,value,frequency,class,suggested_name
hex-color,"#fff",12,confirmed,--color-?
hex-color,"#ffffff",9,confirmed,--color-?
hex-color,"#000",6,confirmed,--color-?
hex-color,"#2563eb",4,confirmed,--color-?
hex-color,"#3b82f6",4,confirmed,--color-?
hex-color,"#111827",3,confirmed,--color-?
hex-color,"#e2e8f0",3,confirmed,--color-?
hex-color,"#e5e7eb",2,probable,
hex-color,"#d1d5db",2,probable,
hex-color,"#6b7280",2,probable,
hex-color,"#1d4ed8",2,probable,
hex-color,"#059669",2,probable,
hex-color,"#dc2626",2,probable,
hex-color,"#3f4a5a",2,probable,
hex-color,"#0e1117",1,oneoff,
hex-color,"#0f1623",1,oneoff,
hex-color,"#232635",1,oneoff,
hex-color,"#e6e6e6",1,oneoff,
hex-color,"#aeb3c2",1,oneoff,
hex-color,"#10b981",1,oneoff,
hex-color,"#ef4444",1,oneoff,
hex-color,"#1b1d24",1,oneoff,
hex-color,"#0ea572",1,oneoff,
hex-color,"#cf3d3d",1,oneoff,
hex-color,"#166534",1,oneoff,
hex-color,"#b91c1c",1,oneoff,
hex-color,"#b0bfd0",1,oneoff,
hex-color,"#f0f4f8",1,oneoff,
hex-color,"#ccc",1,oneoff,
hex-color,"#999",1,oneoff,
hex-color,"#444",1,oneoff,
rgba-color,"rgba(148,163,184,.10)",11,confirmed,--color-?
rgba-color,"rgba(148,163,184,.06)",7,confirmed,--color-?
rgba-color,"rgba(148,163,184,.12)",7,confirmed,--color-?
rgba-color,"rgba(16,185,129,.12)",7,confirmed,--color-?
rgba-color,"rgba(132,204,22,.14)",6,confirmed,--color-?
rgba-color,"rgba(59,130,246,.35)",6,confirmed,--color-?
rgba-color,"rgba(245,158,11,.16)",5,confirmed,--color-?
rgba-color,"rgba(239,68,68,.14)",5,confirmed,--color-?
rgba-color,"rgba(148,163,184,.08)",4,confirmed,--color-?
rgba-color,"rgba(148,163,184,.18)",3,confirmed,--color-?
rgba-color,"rgba(15,23,42,.12)",2,probable,
rgba-color,"rgba(0,0,0,.25)",2,probable,
rgba-color,"rgba(59,130,246,.6)",2,probable,
rgba-color,"rgba(148,163,184,.22)",2,probable,
