name,line,kw,readers_count,writers_count,readers,writers
"$",5,const,63,0,"studentLabel|setTeacherStudentStatus|refreshTeacherStudentSelect|homeLast10CacheKey|loadHomeLast10Cache|saveHomeLast10Cache|fmtPct|fmtCnt|buildModalBadgeEl|buildModalDateBadgeEl|setModalStatsBadge|setModalDateBadge|setHomeBadge|setHomeCoverageBadge|updateScoreThermo|updateScoreForecast|readSessionFallback|buildTeacherPickingHomeModel|renderTeacherHomeRecs|applyTeacherPickingHomeStats|fetchProfileFirstName|fetchProfileRole|refreshAuthHeaderUI|initAuthHeader|initModeToggle|initPickModeToggle|syncPickModeUI|initSmartControls|updateSmartHint|initShuffleToggle|readSelectionFromDOM|inferTopicIdFromQuestionId|collectTeacherPickedRefs|initCreateHomeworkButton|initBulkControls|refreshCountsUI|syncHomeTopicBadgesWidth|renderAccordion|renderSectionNode|renderTopicRow|bubbleUpSums|refreshTotalSum|getProtoModalEls|updateProtoModalSelectedCount|refreshProtoModalBadges|openProtoPickerModal|renderProtoModalCard|buildStemPreview|interpolate|ensureMathJaxLoaded|createTeacherPickSeed|getAddedTasksModalEls|getTeacherAddedTasksContextKey|getDesiredCountsFromSelection|pickQuestionsViaTeacherScreenResolve|pickQuestionsViaTeacherScreenResolveBatch|syncAddedTasksToSelection|openAddedTasksModalFast|buildResolveBucketKey|getResolveRowBucketKey|getTeacherResolveManifestIndex|getAddedTasksRenderSignature|renderAddedTasksPreview",""
"IS_TEACHER_HOME",60,const,26,0,"initTeacherPickFiltersUI|isStudentLikeHome|loadTeacherStudentStats|applyTeacherStudentView|refreshTeacherStudentSelect|warmTeacherModalStatsForStudent|initAuthHeader|buildHwCreatePrefill|initCreateHomeworkButton|bulkResetAll|refreshCountsUI|setTopicCount|setSectionCount|setProtoCount|refreshProtoModalBadges|renderProtoModalCard|persistAddedTasksContext|ensureAddedTasksContextLoaded|getCurrentTeacherPickSessionSeed|setCurrentTeacherPickSessionSeed|onTeacherContextChanged|scheduleSyncAddedTasks|flushTeacherAddedTasksSelection|syncAddedTasksToSelection|initAddedTasksModal|saveSelectionAndGo",""
"TEACHER_VIEW_STUDENT_ID",139,let,18,2,"initTeacherPickFiltersUI|isStudentLikeHome|refreshTeacherStudentSelect|warmTeacherModalStatsForStudent|buildHwCreatePrefill|bulkResetAll|refreshProtoModalBadges|renderProtoModalCard|getTeacherAddedTasksContextKey|getCurrentTeacherPickSessionSeed|pickQuestionsViaTeacherScreenResolve|pickQuestionsViaTeacherScreenResolveBatch|pickDeltaForBucket|syncAddedTasksToSelection|hydrateAddedTasksModalBadgesFromCache|refreshAddedTasksModalBadges|renderAddedTasksPreview|saveSelectionAndGo","getActiveTeacherFilterId|setTeacherStudentViewUI"
"$$",6,const,16,0,"setTeacherPickFiltersEnabled|initTeacherPickFiltersUI|clearStudentLast10UI|applyDashboardHomeStats|applyTeacherPickingHomeStats|initSmartControls|setSmartN|tryBuildSmartSelection|readSelectionFromDOM|refreshCountsUI|syncHomeTopicBadgesWidth|renderSectionNode|bubbleUpSums|refreshProtoModalBadges|hydrateAddedTasksModalBadgesFromCache|refreshAddedTasksModalBadges",""
"CHOICE_TOPICS",30,let,11,2,"getTotalSelected|buildHwCreatePrefill|refreshCountsUI|renderTopicRow|setTopicCount|refreshTotalSum|getDesiredCountsFromSelection|buildTeacherResolveSelection|pickDeltaForBucket|syncAddedTasksToSelection|saveSelectionAndGo","tryBuildSmartSelection|bulkResetAll"
"CHOICE_SECTIONS",31,let,11,2,"getTotalSelected|buildHwCreatePrefill|bulkPickAll|refreshCountsUI|renderSectionNode|setSectionCount|bubbleUpSums|refreshTotalSum|getDesiredCountsFromSelection|buildTeacherResolveSelection|saveSelectionAndGo","tryBuildSmartSelection|bulkResetAll"
"SECTIONS",26,let,11,1,"listVisibleTeacherTopicsForPreload|clearStudentLast10UI|applyDashboardHomeStats|applyTeacherPickingHomeStats|bulkPickAll|renderAccordion|pickQuestionsViaTeacherScreenResolve|pickQuestionsViaTeacherScreenResolveBatch|pickDeltaForBucket|syncAddedTasksToSelection|saveSelectionAndGo","loadCatalog"
"CHOICE_PROTOS",32,let,9,2,"getTotalSelected|buildHwCreatePrefill|setProtoCount|refreshTotalSum|protoModalSum|renderProtoModalCard|getDesiredCountsFromSelection|buildTeacherResolveSelection|saveSelectionAndGo","tryBuildSmartSelection|bulkResetAll"
"IS_STUDENT_PAGE",59,const,11,0,"isStudentLikeHome|refreshStudentLast10|scheduleStudentLast10Refresh|initStudentLast10LiveRefresh|initAuthHeader|initPickModeToggle|initSmartControls|updateSmartHint|tryBuildSmartSelection|refreshTotalSum|saveSelectionAndGo",""
"_ADDED_CTX",3556,let,6,2,"persistAddedTasksContext|incIdCount|decIdCount|getExcludeSet|flattenAddedQuestions|syncAddedTasksToSelection","ensureMathJaxLoaded|ensureAddedTasksContextLoaded"
